student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
6891,275901,"Data Scientist",2022-06-02,0,NULL,NULL
6892,275903,"Data Scientist",2022-06-02,0,NULL,NULL
6893,275906,"Business Analyst",2022-06-02,0,NULL,NULL
6894,275908,"Data Analyst",2022-06-02,0,NULL,NULL
6895,275918,"Data Scientist",2022-06-02,0,NULL,NULL
6896,275918,"Data Analyst",2022-06-02,0,NULL,NULL
6897,275918,"Business Analyst",2022-06-02,0,NULL,NULL
6898,275921,"Data Analyst",2022-06-02,0,NULL,NULL
6899,275930,"Data Analyst",2022-06-02,0,NULL,NULL
6900,275930,"Business Analyst",2022-06-02,0,NULL,NULL
6901,275933,"Data Scientist",2022-06-02,0,NULL,NULL
6902,275936,"Business Analyst",2022-06-02,0,NULL,NULL
6903,275938,"Business Analyst",2022-06-02,0,NULL,NULL
6904,275939,"Data Scientist",2022-06-02,0,NULL,NULL
6905,275939,"Data Analyst",2022-06-02,0,NULL,NULL
6906,275939,"Business Analyst",2022-06-02,0,NULL,NULL
6907,275941,"Business Analyst",2022-06-03,0,NULL,NULL
6908,275942,"Business Analyst",2022-06-02,0,NULL,NULL
6909,275944,"Data Analyst",2022-06-02,0,NULL,NULL
6910,275945,"Business Analyst",2022-06-02,0,NULL,NULL
6911,275947,"Business Analyst",2022-06-02,0,NULL,NULL
6912,275951,"Data Scientist",2022-06-24,0,NULL,NULL
6913,275964,"Business Analyst",2022-06-02,0,NULL,NULL
6914,275969,"Data Analyst",2022-06-17,0,NULL,NULL
6915,275975,"Data Analyst",2022-06-02,0,NULL,NULL
6916,275978,"Business Analyst",2022-06-02,0,NULL,NULL
6917,275984,"Business Analyst",2022-06-02,0,NULL,NULL
6918,275992,"Data Scientist",2022-06-02,0,NULL,NULL
6919,275995,"Data Analyst",2022-06-02,0,NULL,NULL
6920,275997,"Data Analyst",2022-06-02,0,NULL,NULL
6921,275999,"Data Analyst",2022-06-02,0,NULL,NULL
6922,276004,"Data Scientist",2022-06-02,0,NULL,NULL
6923,276012,"Data Analyst",2022-06-02,0,NULL,NULL
6924,276022,"Data Analyst",2022-06-02,0,NULL,NULL
6925,276027,"Data Scientist",2022-06-02,0,NULL,NULL
6926,276030,"Data Analyst",2022-06-02,0,NULL,NULL
6927,276030,"Business Analyst",2022-06-02,0,NULL,NULL
6928,276031,"Data Scientist",2022-06-02,0,NULL,NULL
6929,276032,"Data Scientist",2022-06-02,0,NULL,NULL
6930,276038,"Data Scientist",2022-06-02,0,NULL,NULL
6931,276042,"Data Analyst",2022-06-02,0,NULL,NULL
6932,276044,"Data Scientist",2022-09-18,0,NULL,NULL
6933,276058,"Data Scientist",2022-06-02,0,NULL,NULL
6934,276079,"Business Analyst",2022-06-04,0,NULL,NULL
6935,276085,"Data Analyst",2022-06-02,0,NULL,NULL
6936,276086,"Business Analyst",2022-06-02,0,NULL,NULL
6937,276088,"Data Scientist",2022-06-02,0,NULL,NULL
6938,276088,"Data Analyst",2022-06-02,0,NULL,NULL
6939,276090,"Data Analyst",2022-06-02,0,NULL,NULL
6940,276093,"Data Analyst",2022-06-02,0,NULL,NULL
6941,276098,"Data Analyst",2022-06-02,0,NULL,NULL
6942,276107,"Data Analyst",2022-06-02,0,NULL,NULL
6943,276109,"Data Analyst",2022-06-02,0,NULL,NULL
6944,276109,"Business Analyst",2022-06-02,0,NULL,NULL
6945,276111,"Data Analyst",2022-06-02,0,NULL,NULL
6946,276112,"Data Scientist",2022-10-04,0,NULL,NULL
6947,276115,"Data Scientist",2022-06-02,0,NULL,NULL
6948,276117,"Data Analyst",2022-06-02,0,NULL,NULL
6949,276120,"Business Analyst",2022-06-02,0,NULL,NULL
6950,276122,"Data Scientist",2022-06-02,0,NULL,NULL
6951,276122,"Data Analyst",2022-06-02,0,NULL,NULL
6952,276122,"Business Analyst",2022-06-02,0,NULL,NULL
6953,276124,"Data Analyst",2022-06-02,0,NULL,NULL
6954,276130,"Data Scientist",2022-06-02,0,NULL,NULL
6955,276135,"Data Analyst",2022-06-12,0,NULL,NULL
6956,276138,"Data Analyst",2022-06-02,0,NULL,NULL
6957,276145,"Data Scientist",2022-06-02,0,NULL,NULL
6958,276145,"Data Analyst",2022-06-02,0,NULL,NULL
6959,276145,"Business Analyst",2022-06-02,0,NULL,NULL
6960,276153,"Data Analyst",2022-06-04,0,NULL,NULL
6961,276162,"Data Analyst",2022-06-02,0,NULL,NULL
6962,276165,"Data Scientist",2022-06-02,0,NULL,NULL
6963,276176,"Data Analyst",2022-06-02,0,NULL,NULL
6964,276187,"Data Analyst",2022-06-02,0,NULL,NULL
6965,276196,"Data Analyst",2022-08-15,0,NULL,NULL
6966,276200,"Data Analyst",2022-06-02,0,NULL,NULL
6967,276204,"Data Scientist",2022-06-02,0,NULL,NULL
6968,276204,"Data Analyst",2022-06-02,0,NULL,NULL
6969,276204,"Business Analyst",2022-06-02,0,NULL,NULL
6970,276209,"Data Analyst",2022-06-02,0,NULL,NULL
6971,276220,"Data Analyst",2022-06-02,0,NULL,NULL
6972,276229,"Data Analyst",2022-06-02,0,NULL,NULL
6973,276230,"Business Analyst",2022-06-02,0,NULL,NULL
6974,276231,"Data Analyst",2022-06-02,0,NULL,NULL
6975,276232,"Data Scientist",2022-06-03,0,NULL,NULL
6976,276235,"Data Scientist",2022-06-02,0,NULL,NULL
6977,276247,"Data Scientist",2022-06-03,0,NULL,NULL
6978,276251,"Data Scientist",2022-06-03,0,NULL,NULL
6979,276256,"Data Analyst",2022-06-03,0,NULL,NULL
6980,276257,"Data Scientist",2022-06-11,0,NULL,NULL
6981,276261,"Data Scientist",2022-06-03,0,NULL,NULL
